time,open,high,low,close
2025-12-15T23:00:00+09:00,4332.075,4336.835,4328.385,4329.055
2025-12-15T23:15:00+09:00,4329.09,4332.56,4321.545,4325.28
2025-12-15T23:30:00+09:00,4325.23,4335.195,4320.705,4328.355
2025-12-15T23:45:00+09:00,4328.39,4331.56,4317.515,4323.765
2025-12-16T00:00:00+09:00,4323.695,4327.33,4312.535,4322.87
2025-12-16T00:15:00+09:00,4322.875,4327.71,4311.63,4314.26
2025-12-16T00:30:00+09:00,4314.295,4324.83,4313.15,4323.75
2025-12-16T00:45:00+09:00,4323.785,4327.935,4317.065,4318.375
2025-12-16T01:00:00+09:00,4318.385,4319.02,4301.055,4303.875
2025-12-16T01:15:00+09:00,4302.445,4305.875,4293.135,4296.25
2025-12-16T01:30:00+09:00,4296.245,4299.99,4285.515,4296.695
2025-12-16T01:45:00+09:00,4296.725,4299.95,4292.655,4297.815
2025-12-16T02:00:00+09:00,4297.795,4300.305,4291.08,4297.165
2025-12-16T02:15:00+09:00,4297.17,4303.87,4293.385,4302.15
2025-12-16T02:30:00+09:00,4302.195,4305.425,4300.515,4304.285
2025-12-16T02:45:00+09:00,4304.25,4306.825,4302.04,4304.425
2025-12-16T03:00:00+09:00,4304.53,4305.34,4301.415,4302.9
2025-12-16T03:15:00+09:00,4302.93,4306.735,4300.06,4305.87
2025-12-16T03:30:00+09:00,4305.835,4310.245,4302.785,4309.855
2025-12-16T03:45:00+09:00,4309.895,4313.61,4307.92,4313.085
2025-12-16T04:00:00+09:00,4313.085,4317.81,4312.07,4312.64
2025-12-16T04:15:00+09:00,4312.555,4314.55,4309.135,4309.315
2025-12-16T04:30:00+09:00,4309.155,4312.325,4307.92,4311.325
2025-12-16T04:45:00+09:00,4311.3,4314.59,4310.12,4314.285
2025-12-16T05:00:00+09:00,4314.21,4314.385,4311.475,4311.585
2025-12-16T05:15:00+09:00,4311.695,4311.695,4299.725,4305.305
2025-12-16T05:30:00+09:00,4305.31,4307.855,4300.665,4305.98
2025-12-16T05:45:00+09:00,4305.965,4307.835,4304.215,4304.625
2025-12-16T06:00:00+09:00,4304.63,4305.755,4300.825,4304.56
2025-12-16T06:15:00+09:00,4304.6,4305.19,4302.855,4303.64
2025-12-16T06:30:00+09:00,4303.635,4304.585,4301.265,4302.125
2025-12-16T06:45:00+09:00,4302.135,4305.84,4302.09,4304.91
2025-12-16T08:00:00+09:00,4307.67,4308.2,4305.265,4306.065
2025-12-16T08:15:00+09:00,4306.095,4309.77,4306.045,4307.595
2025-12-16T08:30:00+09:00,4307.75,4308.56,4305.97,4306.9
2025-12-16T08:45:00+09:00,4306.84,4308.235,4303.565,4304.445
2025-12-16T09:00:00+09:00,4304.435,4309.19,4303.04,4307.4
2025-12-16T09:15:00+09:00,4307.41,4310.395,4304.55,4309.73
2025-12-16T09:30:00+09:00,4309.9,4313.515,4307.905,4311.94
