timestamp,open,high,low,close,volume
2025-01-01T23:00:00.000Z,2624.14,2625.52,2623.93,2624.62,1187
2025-01-01T23:15:00.000Z,2624.66,2624.88,2623.27,2623.45,1068
2025-01-01T23:30:00.000Z,2623.53,2623.76,2621.76,2621.76,874
2025-01-01T23:45:00.000Z,2621.75,2624.34,2621.59,2623.57,1026
2025-01-02T00:00:00.000Z,2623.76,2625.95,2622.51,2625.6,1606
2025-01-02T00:15:00.000Z,2625.58,2626.42,2625.03,2626.23,1655
2025-01-02T00:30:00.000Z,2626.23,2627.33,2625.26,2626.7,1574
2025-01-02T00:45:00.000Z,2626.71,2627.63,2625.18,2625.21,2497
2025-01-02T01:00:00.000Z,2625.2,2630.71,2623.68,2629.47,6628
2025-01-02T01:15:00.000Z,2629.39,2632.95,2629.26,2632.52,4483
2025-01-02T01:30:00.000Z,2632.51,2634.39,2632.3,2633.53,3589
2025-01-02T01:45:00.000Z,2633.37,2633.58,2631.58,2632.87,4880
2025-01-02T02:00:00.000Z,2632.87,2634.69,2632.53,2634.53,3654
2025-01-02T02:15:00.000Z,2634.52,2636.42,2633.81,2635.58,2387
2025-01-02T02:30:00.000Z,2635.57,2635.63,2632.54,2633.42,3887
2025-01-02T02:45:00.000Z,2633.25,2635.21,2632.23,2634.62,3176
2025-01-02T03:00:00.000Z,2634.67,2635.27,2633.01,2633.1,3116
2025-01-02T03:15:00.000Z,2633.07,2634.72,2632.93,2633.36,2922
2025-01-02T03:30:00.000Z,2633.32,2634.04,2632.09,2633.29,1940
2025-01-02T03:45:00.000Z,2633.3,2633.78,2632.59,2633.47,1266
2025-01-02T04:00:00.000Z,2633.48,2633.53,2631.96,2632.06,1616
2025-01-02T04:15:00.000Z,2632.04,2633.01,2631.93,2632.31,1632
2025-01-02T04:30:00.000Z,2632.25,2632.83,2631.87,2631.91,1377
2025-01-02T04:45:00.000Z,2631.87,2634.02,2630.96,2633.93,2024
2025-01-02T05:00:00.000Z,2633.93,2634.2,2632.9,2633.23,1673
2025-01-02T05:15:00.000Z,2633.22,2635.09,2633.19,2634.69,1859
2025-01-02T05:30:00.000Z,2634.6,2636.3,2634.34,2634.8,3315
2025-01-02T05:45:00.000Z,2634.77,2635.17,2633.88,2633.91,3756
2025-01-02T06:00:00.000Z,2633.91,2633.91,2631.34,2631.61,3882
2025-01-02T06:15:00.000Z,2631.6,2634.3,2631.21,2634.2,2969
2025-01-02T06:30:00.000Z,2634.19,2634.56,2633.32,2634.02,3062
2025-01-02T06:45:00.000Z,2634.01,2635.26,2633.42,2634.11,2857
2025-01-02T07:00:00.000Z,2634.07,2635.03,2633.47,2634.34,2758
2025-01-02T07:15:00.000Z,2634.27,2635.83,2633.44,2634.25,2722
2025-01-02T07:30:00.000Z,2634.26,2634.28,2632.88,2633.62,2635
2025-01-02T07:45:00.000Z,2633.63,2635.96,2632.94,2635.92,2386
2025-01-02T08:00:00.000Z,2635.91,2636.95,2633.94,2635.14,3807
2025-01-02T08:15:00.000Z,2635.15,2635.15,2631.23,2633.27,3769
2025-01-02T08:30:00.000Z,2633.28,2636.77,2631.16,2636.06,3143
2025-01-02T08:45:00.000Z,2635.89,2637.6,2635.24,2636.44,3073
2025-01-02T09:00:00.000Z,2636.44,2639.67,2636.44,2638.08,4465
2025-01-02T09:15:00.000Z,2637.94,2639.94,2637.13,2637.38,2898
2025-01-02T09:30:00.000Z,2637.43,2638.36,2636.7,2637.15,2580
2025-01-02T09:45:00.000Z,2637.23,2637.89,2635.92,2636,2429
2025-01-02T10:00:00.000Z,2635.99,2638.81,2632.68,2638.75,3769
2025-01-02T10:15:00.000Z,2638.76,2646.15,2637.94,2644.74,5278
2025-01-02T10:30:00.000Z,2644.69,2645.61,2643.03,2643.95,4148
2025-01-02T10:45:00.000Z,2643.91,2644.05,2640.38,2642.7,4067
2025-01-02T11:00:00.000Z,2642.71,2644.55,2642.4,2644.13,2963
2025-01-02T11:15:00.000Z,2644.15,2644.35,2640.61,2641.69,3178
2025-01-02T11:30:00.000Z,2641.77,2642.78,2640.28,2642.08,2653
2025-01-02T11:45:00.000Z,2642.06,2642.46,2641.09,2641.96,2133
2025-01-02T12:00:00.000Z,2641.98,2642.81,2640.29,2641.01,2637
2025-01-02T12:15:00.000Z,2641.01,2643.1,2640.5,2642.61,2668
2025-01-02T12:30:00.000Z,2642.6,2645.13,2642.06,2644.17,3677
